organization,num_tickets,avg_star,avg_resolution_time,resolved_count,total_count,resolution_rate
กลุ่มงานสัญญาณไฟจราจร,103,3.9649828111715832,686.5655797486057,68,103,66.01941747572816
กสทช.,1,3.932253375745192,32.592238539444445,0,1,0.0
กองบัญชาการตำรวจนครบาล,141,3.851220551076275,1197.5561337756837,97,141,68.79432624113475
การประปานครหลวง,11,3.4900254892460665,567.8985308835606,7,11,63.63636363636363
การไฟฟ้านครหลวง,1,3.932253375745192,67.56466421722222,1,1,100.0
ขสมก.,2,3.932253375745192,197.05091986972224,0,2,0.0
สำนักการจราจรและขนส่ง,91,3.856252782207576,530.5212935952289,51,91,56.043956043956044
สำนักการระบายน้ำ,47,4.0148215909646074,719.4812005632092,35,47,74.46808510638297
สำนักการโยธา,49,3.9460792174298467,896.9545845391781,22,49,44.89795918367347
สำนักงานก่อสร้างและบูรณะ,37616,4.0032202872301035,1203.0612209695485,25378,37616,67.46597192683964
สำนักสิ่งแวดล้อม,275,3.5759265203828896,513.6359964941404,237,275,86.18181818181819
เขต,636978,3.9358793674320074,497.2924607903299,527076,636978,82.74634288782345
