index,type,num_tickets,avg_star,avg_resolution_time,resolved_count,total_count,resolution_rate
0,PM2.5,6943,3.8137750317588166,461.76859823958864,6142,6943,88.4632003456719
1,การเดินทาง,1957,3.935408075889853,633.9089310106583,1245,1957,63.61778231987736
2,กีดขวาง,60248,3.838213530031646,419.69515407385336,51449,60248,85.39536582127208
3,ขอความช่วยเหลือ,79,4.167767117790829,34.532781293952176,40,79,50.63291139240506
4,ขอใช้บริการ,46,4.269515098358601,45.43436594202899,30,46,65.21739130434783
5,ขึ้นทะเบียน&สำรวจ,23,4.196591905776218,46.480458937198065,20,23,86.95652173913044
6,คนจรจัด,7011,3.9658519290689562,307.11879390883144,6070,7011,86.57823420339467
7,คนเร่ร่อน,271,4.256654295649584,34.56818060680607,149,271,54.981549815498155
8,คลอง,22388,3.957662179066872,563.3816377794427,19346,22388,86.41236376630339
9,ควันดำ,49,4.04299241310357,26.659421768707478,19,49,38.775510204081634
10,ความปลอดภัย,67010,3.967182132239732,614.097075346677,49487,67010,73.85017161617668
11,ความสะอาด,64350,4.013503851340649,315.0412763084909,60097,64350,93.39083139083138
12,คุ้มครองผู้บริโภค,26,4.29893593438262,26.998087606837604,9,26,34.61538461538461
13,จราจร,38866,3.8086914285416777,568.1994296118913,28557,38866,73.47553131271547
14,จุดเสี่ยง,219,4.26023449528246,37.889870624048704,78,219,35.61643835616438
15,ชื่นชม,12,4.574687800192123,41.97361111111111,10,12,83.33333333333334
16,ต้นไม้,27855,4.09397499827745,417.1615667676227,25295,27855,90.80954945252199
17,ถนน,217641,3.937511097294556,581.0147513531524,178181,217641,81.86922500815564
18,ถนน ทางเท้า ที่จอดรถ,29,4.270893371757925,7.7043773946360155,0,29,0.0
19,ถังดับเพลิง/ประปาหัวแดง,5,4.562536023054755,32.07127777777778,2,5,40.0
20,ทางเท้า,92714,3.8996514003951437,506.17192812869115,76758,92714,82.7900856397092
21,ท่อระบายน้ำ,37821,4.066739263608761,519.5926178978488,32585,37821,86.15583934851009
22,น้ำท่วม,37403,3.8912989399796154,552.5312027752128,33611,37403,89.86177579338556
23,บริจาค/ช่วยเหลือ,1,5.0,97.84694444444445,1,1,100.0
24,ประชาสัมพันธ์,61,4.22922473661832,36.02129781420765,29,61,47.540983606557376
25,ประปา,127,4.375865120606322,42.82134076990376,60,127,47.24409448818898
26,ป้าย,34891,4.0008564425946185,413.9288317952454,28123,34891,80.60244762259609
27,ป้ายจราจร,1038,4.048368238124004,893.3880250366811,757,1038,72.92870905587668
28,ป้ายโฆษณา,225,4.598360550752481,19.995785185185184,173,225,76.88888888888889
29,ผิดกฎจราจร,1864,4.237657852098304,27.982029089175015,650,1864,34.871244635193136
30,ผู้พิการ+ใช้ล้อ,3,4.270893371757925,75.91,0,3,0.0
31,ฝุ่นควัน&กลิ่น&PM2.5,522,4.241947950136363,46.37101532567049,234,522,44.827586206896555
32,ภัยจากการก่อความไม่สงบ,1,4.270893371757925,12.853055555555557,0,1,0.0
33,ภัยทางถนน,1,4.270893371757925,22.517222222222223,0,1,0.0
34,ภัยออนไลน์,16,4.270893371757925,14.767100694444444,1,16,6.25
35,ภัยอื่นๆ,4,4.270893371757925,12.109791666666666,1,4,25.0
36,ร้องเรียน,44241,3.8774185795200307,548.7637629618172,36373,44241,82.21559187179314
37,สถานบันเทิง,25,4.107550432276657,31.0724,7,25,28.000000000000004
38,สอบถาม,5811,3.890880907750974,490.5441316569172,4868,5811,83.77215625537772
39,สะพาน,26449,3.9397314432354,660.5829038008513,19045,26449,72.00650308140195
40,สัตว์,298,4.19775448233178,44.446415920954514,145,298,48.65771812080537
41,สัตว์จรจัด,14024,3.8705343138428905,622.531169813184,12445,14024,88.7407301768397
42,สายสื่อสาร,383,4.309019495714856,27.34643385552654,63,383,16.449086161879894
43,สายไฟ,20293,4.028420649554553,456.0242339920617,10829,20293,53.36322869955157
44,หาบเร่แผงลอย,550,4.119968561697669,42.442875757575756,335,550,60.909090909090914
45,ห้องน้ำ,1679,3.9409714659935515,495.66940469690974,1379,1679,82.13222156045265
46,อาคารสถานที่ชำรุด,592,4.28035185762131,36.3580006569069,212,592,35.810810810810814
47,อื่นๆ,973,4.326228930400348,33.07423090099349,471,973,48.40698869475848
48,อุบัติเหตุ,64,4.303764409221902,35.10378472222222,15,64,23.4375
49,อุปกรณ์ชำรุด,862,4.3734261853340195,40.89855503995875,361,862,41.87935034802784
50,เบาะแสยาเสพติด,13,4.075371314564398,16.59019230769231,2,13,15.384615384615385
51,เผาในที่โล่ง,50,4.202132564841499,42.19465,35,50,70.0
52,เสนอแนะ,4716,3.905003100750477,479.86237865730453,3830,4716,81.21289228159458
53,เสียง,860,4.255599490650761,38.66443959948321,312,860,36.27906976744186
54,เสียงรบกวน,32251,3.900927274950782,501.77662736927556,28138,32251,87.24690707264891
55,แท็กซี่/รถเมล์,74,4.27595607134512,26.96885885885886,16,74,21.62162162162162
56,แสงสว่าง,50075,3.980877623759427,976.4166961284401,36523,50075,72.93659510733899
57,โรงเรียน,16,4.345100864553314,28.062534722222225,6,16,37.5
58,ไฟฟ้า,1445,4.271972318339101,44.55141791618608,179,1445,12.387543252595155
